k, get_knn_function, get_label_function, pca_parameters, accuracy, macro_precision, macro_recall, macro_F1, execution_time, d
5, get_knn_e_dist, get_label_by_knn, 256, 0.983086680761, 0.982878064165, 0.982848686352, 0.982863375039, 1.8129076957702637, 256
5, get_knn_e_dist, get_label_by_wknn, 0, 0.990486257928, 0.990080648903, 0.990368674741, 0.990224640878, 7.268577337265015, 1024
5, get_knn_e_dist, get_label_by_wknn, 4, 0.828752642706, 0.830775514731, 0.831832469402, 0.831303656102, 0.6348814964294434, 4
5, get_knn_e_dist, get_label_by_wknn, 8, 0.959830866808, 0.9604434028, 0.959010102321, 0.959726217421, 0.6533203125, 8
5, get_knn_e_dist, get_label_by_wknn, 16, 0.985200845666, 0.985295005181, 0.984510360337, 0.984902526482, 0.7040109634399414, 16
5, get_knn_e_dist, get_label_by_wknn, 32, 0.987315010571, 0.987448117977, 0.986592204583, 0.987019975725, 0.7204113006591797, 32
5, get_knn_e_dist, get_label_by_wknn, 64, 0.987315010571, 0.987451664141, 0.986694468479, 0.987072921096, 0.8113903999328613, 64
5, get_knn_e_dist, get_label_by_wknn, 128, 0.990486257928, 0.990220741003, 0.990171005161, 0.990195872458, 0.9998056888580322, 128
5, get_knn_e_dist, get_label_by_wknn, 256, 0.989429175476, 0.989133585069, 0.989245079235, 0.989189329011, 1.8615026473999023, 256
5, get_knn_e_dist_with_kdtree, get_label_by_knn, 0, 0.980972515856, 0.980797081585, 0.98060149534, 0.980699278711, 57.184542655944824, 1024
5, get_knn_e_dist_with_kdtree, get_label_by_knn, 4, 0.836152219873, 0.840081179475, 0.839870048776, 0.839975600859, 2.1196773052215576, 4
5, get_knn_e_dist_with_kdtree, get_label_by_knn, 8, 0.954545454545, 0.956058368591, 0.953882698521, 0.954969294371, 3.914893865585327, 8
5, get_knn_e_dist_with_kdtree, get_label_by_knn, 16, 0.977801268499, 0.977402370255, 0.977336322293, 0.977369345158, 6.427109479904175, 16
5, get_knn_e_dist_with_kdtree, get_label_by_knn, 32, 0.983086680761, 0.982500137637, 0.983240653568, 0.982870256122, 9.36326813697815, 32
5, get_knn_e_dist_with_kdtree, get_label_by_knn, 64, 0.983086680761, 0.982701581009, 0.982721728049, 0.982711654426, 12.468154191970825, 64
5, get_knn_e_dist_with_kdtree, get_label_by_knn, 128, 0.980972515856, 0.980513048799, 0.980947445686, 0.980730199141, 16.477222204208374, 128
5, get_knn_e_dist_with_kdtree, get_label_by_knn, 256, 0.983086680761, 0.982865002514, 0.982651016772, 0.982757997995, 22.263396739959717, 256
5, get_knn_e_dist_with_kdtree, get_label_by_wknn, 0, 0.990486257928, 0.990080648903, 0.990368674741, 0.990224640878, 57.85854721069336, 1024
5, get_knn_e_dist_with_kdtree, get_label_by_wknn, 4, 0.828752642706, 0.830775514731, 0.831832469402, 0.831303656102, 2.1178345680236816, 4
5, get_knn_e_dist_with_kdtree, get_label_by_wknn, 8, 0.959830866808, 0.9604434028, 0.959010102321, 0.959726217421, 3.8993794918060303, 8
5, get_knn_e_dist_with_kdtree, get_label_by_wknn, 16, 0.985200845666, 0.985295005181, 0.984510360337, 0.984902526482, 6.364882946014404, 16
5, get_knn_e_dist_with_kdtree, get_label_by_wknn, 32, 0.987315010571, 0.987448117977, 0.986592204583, 0.987019975725, 9.262987852096558, 32
5, get_knn_e_dist_with_kdtree, get_label_by_wknn, 64, 0.987315010571, 0.987451664141, 0.986694468479, 0.987072921096, 12.563569784164429, 64
5, get_knn_e_dist_with_kdtree, get_label_by_wknn, 128, 0.990486257928, 0.990220741003, 0.990171005161, 0.990195872458, 16.42244529724121, 128
5, get_knn_e_dist_with_kdtree, get_label_by_wknn, 256, 0.989429175476, 0.989133585069, 0.989245079235, 0.989189329011, 22.40329623222351, 256
5, get_knn_m_dist, get_label_by_knn, 0, 0.477801268499, 0.612673874412, 0.481227983952, 0.539053501279, 112.19772410392761, 1024
5, get_knn_m_dist, get_label_by_knn, 4, 0.837209302326, 0.839601947482, 0.841570624763, 0.840585133448, 8.356066465377808, 4
5, get_knn_m_dist, get_label_by_knn, 8, 0.948202959831, 0.950205650626, 0.947183762083, 0.94869229994, 8.419145107269287, 8
5, get_knn_m_dist, get_label_by_knn, 16, 0.978858350951, 0.978830789196, 0.97862215414, 0.978726460549, 8.495189905166626, 16
5, get_knn_m_dist, get_label_by_knn, 32, 0.972515856237, 0.972150585724, 0.972369774852, 0.972260167934, 9.253324031829834, 32
5, get_knn_m_dist, get_label_by_knn, 64, 0.961945031712, 0.961135496643, 0.961081004417, 0.961108249758, 10.271631717681885, 64
5, get_knn_m_dist, get_label_by_knn, 128, 0.906976744186, 0.914274681467, 0.905587482371, 0.909910347539, 14.010688543319702, 128
5, get_knn_m_dist, get_label_by_knn, 256, 0.738900634249, 0.861911357533, 0.738796136831, 0.795619166498, 24.042489051818848, 256
5, get_knn_m_dist, get_label_by_wknn, 0, 0.513742071882, 0.582080462864, 0.517417280239, 0.547847400078, 111.97913813591003, 1024
5, get_knn_m_dist, get_label_by_wknn, 4, 0.829809725159, 0.832657165286, 0.833638737095, 0.833147662081, 8.393740892410278, 4
5, get_knn_m_dist, get_label_by_wknn, 8, 0.953488372093, 0.954552479931, 0.952001198651, 0.953275132275, 8.458646297454834, 8
5, get_knn_m_dist, get_label_by_wknn, 16, 0.977801268499, 0.97792987077, 0.977070240583, 0.977499866683, 8.516357898712158, 16
5, get_knn_m_dist, get_label_by_wknn, 32, 0.970401691332, 0.969836460872, 0.970063068885, 0.969949751643, 9.287278890609741, 32
5, get_knn_m_dist, get_label_by_wknn, 64, 0.957716701903, 0.956878944765, 0.957082671941, 0.956980797511, 10.30473518371582, 64
5, get_knn_m_dist, get_label_by_wknn, 128, 0.914376321353, 0.915709851867, 0.913173966211, 0.91444015094, 13.933811902999878, 128
5, get_knn_m_dist, get_label_by_wknn, 256, 0.779069767442, 0.838554355435, 0.77624568924, 0.806197901401, 24.07369041442871, 256
7, get_knn_e_dist, get_label_by_knn, 0, 0.978858350951, 0.978545901701, 0.978523793233, 0.978534847342, 7.28339695930481, 1024
7, get_knn_e_dist, get_label_by_knn, 4, 0.834038054968, 0.839270415262, 0.8378116854, 0.838540415928, 0.6281826496124268, 4
7, get_knn_e_dist, get_label_by_knn, 8, 0.95665961945, 0.959032201622, 0.95611932784, 0.957573549545, 0.6515674591064453, 8
7, get_knn_e_dist, get_label_by_knn, 16, 0.976744186047, 0.976420796287, 0.976684830184, 0.976552795388, 0.6631078720092773, 16
7, get_knn_e_dist, get_label_by_knn, 32, 0.983086680761, 0.98260403743, 0.983067678395, 0.982835803233, 0.7072737216949463, 32
7, get_knn_e_dist, get_label_by_knn, 64, 0.978858350951, 0.978388920148, 0.978421529337, 0.978405224471, 0.7921261787414551, 64
7, get_knn_e_dist, get_label_by_knn, 128, 0.979915433404, 0.979583132399, 0.979795669505, 0.979689389425, 0.9918866157531738, 128
7, get_knn_e_dist, get_label_by_knn, 256, 0.976744186047, 0.976413722017, 0.976486216379, 0.976449967852, 1.8379383087158203, 256
7, get_knn_e_dist, get_label_by_wknn, 0, 0.989429175476, 0.989232512731, 0.989322648725, 0.989277578675, 7.316761016845703, 1024
7, get_knn_e_dist, get_label_by_wknn, 4, 0.844608879493, 0.847228964882, 0.848503212571, 0.847865609963, 0.647099494934082, 4
7, get_knn_e_dist, get_label_by_wknn, 8, 0.957716701903, 0.958558587527, 0.956795408155, 0.957676186293, 0.6544651985168457, 8
7, get_knn_e_dist, get_label_by_wknn, 16, 0.985200845666, 0.985295005181, 0.984510360337, 0.984902526482, 0.6851744651794434, 16
7, get_knn_e_dist, get_label_by_wknn, 32, 0.989429175476, 0.989409445194, 0.98894514576, 0.989177240994, 0.7210516929626465, 32
7, get_knn_e_dist, get_label_by_wknn, 64, 0.990486257928, 0.990432416185, 0.990223880244, 0.990328137237, 0.8145604133605957, 64
7, get_knn_e_dist, get_label_by_wknn, 128, 0.991543340381, 0.991371110242, 0.99134747575, 0.991359292855, 1.0077488422393799, 128
7, get_knn_e_dist, get_label_by_wknn, 256, 0.989429175476, 0.989274651865, 0.989297954318, 0.989286302954, 1.8509864807128906, 256
7, get_knn_e_dist_with_kdtree, get_label_by_knn, 0, 0.975687103594, 0.975484461686, 0.975573040282, 0.975528748974, 57.8603515625, 1024
7, get_knn_e_dist_with_kdtree, get_label_by_knn, 4, 0.829809725159, 0.834230792185, 0.833532082136, 0.833881290798, 2.3916804790496826, 4
